NAME, Part, Lon, Lat
Law, 1, -75.78381, 40.99159
Law, 1, -75.85493, 40.9655
Law, 1, -75.88282, 40.95531
Law, 1, -75.99763, 40.91319
Law, 1, -76.00273, 40.91142
Law, 1, -76.02843, 40.9021
Law, 1, -76.03445, 40.90371
Law, 1, -76.09563, 40.91992
Law, 1, -76.12734, 40.9283
Law, 1, -76.20794, 40.94972
Law, 1, -76.22054, 41.00369
Law, 1, -76.23044, 41.0463
Law, 1, -76.23144, 41.0506
Law, 1, -76.22954, 41.05441
Law, 1, -76.22834, 41.0583
Law, 1, -76.22845, 41.06651
Law, 1, -76.22892, 41.1382
Law, 1, -76.23754, 41.13699
Law, 1, -76.27733, 41.1317
Law, 1, -76.28654, 41.1478
Law, 1, -76.30294, 41.17641
Law, 1, -76.30733, 41.1841
Law, 1, -76.31925, 41.2049
Law, 1, -76.31904, 41.2075
Law, 1, -76.31664, 41.23669
Law, 1, -76.31074, 41.30859
Law, 1, -76.29703, 41.342
Law, 1, -76.28264, 41.3772
Law, 1, -76.24372, 41.3782
